  263          3       3       3
  264          3     2.5     2.5
  265          3       2       2
  266          3       3       3
  267        2.5       3     3.5
  268          1     1.5     0.5
  269        3.5     3.5       4
  270          4       4       3
  271          3     2.5     2.5
  272          2     2.5       2
  273        3.5       4     3.5
  274          2     2.5       2
  275        2.5       1     1.5
  276          3       2       3
  277        3.5       3       3
  278          3       2     2.5
  279        3.5     3.5     3.5
  280        3.5       2       2
  281        3.5     3.5       3
  282        3.5       2       3
  283          4       4     3.5
  284       3.13    3.38    3.75
  285        2.5       2     1.5
  286          4       4       4
  287        3.5       3     3.5
  288        2.5     2.5     2.5
  289          3     2.5       3
  290          3     3.5     2.5
  291        3.3     3.6     3.3
  292        3.5     3.5       3
  293        3.5       2       2
  294          4     3.5       4
  295        1.5     1.5     1.5
  296          3     2.5       3
  297          3       3     3.5
  298          4     3.5     3.5
  299          2     2.5     2.5
  300          3       2       1
  301        3.5       3     2.5
  302          3       2     1.5
  303        3.5     2.5     2.5
  304          4       4     3.5
  305          3       2     2.5
  306          4     2.5       3
  307          3       1     1.5
  308          3       3       3
  309          2       2       2
  310          3     3.5       3
  311        3.5       3       4
  312        3.5     3.5     3.5
  313          3     1.5       2
  314          4       3     3.5
  315        0.5       1       2
  316        3.5     2.5       3
  317        3.5     3.5       4
  318        3.5     1.5       2
  319          3     1.5     2.5
  320          4       4       3
  321          3       2       2
  322          3     2.5     1.5
  323          3       2       2
  324          3       1       1
  325        3.5       2     1.5
  326          2     1.5       1
  327        3.5       3       3
  328          4     3.5     3.5
  329        3.5     2.5       4
  330        3.5     2.5       3
  331        3.5       4     3.5
  332        1.5       2     1.5
  333        2.8     3.4     2.9
  334        3.5       4       4
  335        3.5     2.5     2.5
  336        3.5     3.5       3
  337        3.5       3     2.5
  338        3.5     2.5     3.5
  339        3.5       4       4
  340          4     3.5       3
  341          3     2.5       2
  342          2       3       2
  343          3     2.5       2
  344          3     1.5       2
  345          2       2       2
  346          4     3.5       4
  347        1.5     1.5     1.5
  348          3       3       3
  349          4       4       4
  350        3.5       3       4
  351        3.5     3.7     3.3
  352          2     1.5       2
  353          2       2     1.5
  354        2.5       3     3.5
  355        3.5     3.5       3
  356        3.5     3.5       4
  357          3       1       1
  358        3.5     2.6     3.1
  359        3.5     2.5       3
  360          4     2.5       4
  361          4       2       3
  362       2.67    2.67    2.67
  363          3       4       3
  364          4       3       2
  365        2.5       2     2.5
  366          3     2.5     2.5
  367          3       2     2.5
  368        2.5       3     3.5
  369        3.5       4     3.5
  370        3.8     3.3     3.6
  371          3       2       3
  372          3     2.5     2.5
  373        2.5     1.5       2
  374        3.2     2.8     3.1
  375       3.38    3.75    3.88
  376          3       3       4
  377        3.9     3.4     3.8
  378        3.5     2.5       3
  379        3.5     3.5     3.5
  380        3.5     2.5     2.5
  381        2.5     2.5     2.5
  382          1     1.5       1
  383        1.5     1.5     1.5
  384        3.5     2.5       3
  385        3.5       4       4
  386        3.5     1.5       2
  387        3.5       3     2.5
  388        3.5       3       3
  389        3.5       3     3.5
  390          2     2.5       2
  391        3.5       2       3
  392        2.5       3       3
  393        2.5     1.5     1.5
  394        3.5     2.5     3.5
  395          3     2.5     1.5
  396        2.5     2.5     2.5
  397        2.5       3     3.5
  398          3     1.5     1.5
  399          2     2.5     2.5
  400        3.5       2     2.5
  401          3     1.5       2
  402          3       3       3
  403        2.5       3       3
  404          3       3       3
  405        3.5       3     3.5
  406          3     3.5       3
  407          3       2     2.5
  408          4     3.5       3
  409        3.5     3.5       4
  410        2.5     2.5     2.5
  411          3     3.5     3.5
  412       3.88    3.63    2.75
  413        2.5     1.5       2
  414          3     2.5       3
  415        3.5       3       3
  416          3       3     2.5
  417        1.5       1       1
  418        2.5       2       2
  419          3     2.5       2
  420          4     3.5       4
  421          3       1     1.5
  422          3     2.5       2
  423        3.5     3.5     3.5
  424        3.3     3.2     3.1
  425        3.5       3       3
  426          3       3       3
  427        3.5     3.5     2.5
  428          3     2.5       3
  429        3.5     2.5       3
  430          2     2.5       2
  431          3     2.5     2.5
  432        3.5       3       3
  433          3       3     2.5
  434        2.5     2.5     2.5
  435        2.5       2     3.5
  436          2       1       1
  437        2.5     2.5     2.5
  438          3       3       2
  439          2       2     2.5
  440          3       4     3.5
  441        3.5       3     3.5
  442          3     3.5       3
  443        2.5       2     2.5
  444          2     1.5     1.5
  445        2.5     2.5     2.5
  446          2       2       2
  447          3       3       3
  448        3.3     3.5     3.1
  449        2.5       2     2.5
  450          4       3     3.5
  451        3.5     2.5     3.5
  452          3       3     3.5
  453        2.5       2     1.5
  454          4     3.5       3
  455          3     3.5     3.5
  456        2.5       2     1.5
  457          2     2.5       3
  458          3       2       2
  459          3       3       3
