               EP2        ATT        CMK         WMK        STE
  209       566500          0     308680           0     376728
  210       108500     313602     160000           0          0
  211            0     734580     434060           0     192400
  212       137900     131753     204000           0          0
  213       246000     263453          0           0          0
  214       285000     116535          0           0          0
  215            0    1413730          0           0          0
  216        45299     355510      51313           0          0
  217       682250      42250          0           0          0
  218       161200     204170     234009           0     368000
  219       211770     394290          0           0          0
  220       237838     297618          0           0          0
  221       341719      63000     135000           0          0
  222       350000     420000     320000           0          0
  223       205000     756500          0           0          0
  224            0     373620     516005           0          0
  225       306610      91800      99924           0          0
  226            0          0     553000           0          0
  227       815000          0          0           0          0
  228            0          0     593426           0          0
  229            0     415515          0           0          0
  230            0          0     320200           0          0
  231       333000     566387     928598           0          0
  232       475946          0          0           0          0
  233            0     208650     270000           0          0
  234            0     457784      16440           0          0
  235       271200     301000          0           0          0
  236       122000          0     454000           0     134000
  237       185871     658412     611046           0          0
  238       180000     731976      46701           0          0
  239            0     198450     510103           0          0
  240            0          0     325884           0      73675
  241            0     222500     770700           0          0
  242       443100     422250     200500           0          0
  243       359645     276625          0           0          0
  244            0     640000          0           0          0
  245            0     650479          0           0     449690
  246       236932       6075          0           0          0
  247       223000    1034366          0           0          0
  248            0          0     498500           0          0
  249            0          0     751050           0          0
  250       150000     502000          0           0          0
  251       570315      97125     212725           0          0
  252       168675     254381          0           0          0
  253            0          0     312711           0          0
  254       345840     537245     119280           0          0
  255            0      94242     470600           0          0
  256            0     579800          0           0          0
  257       685000     342200          0      144000          0
  258            0     299000     300000           0          0
  259       384000     280000          0           0          0
  260            0    1236466          0           0     280000
  261       183771     302320          0           0          0
  262        60750    1281453          0           0          0
  263       280000     416000          0           0          0
  264            0          0          0           0     440000
  265            0     620000     200000           0          0
  266       991000     157045     444000           0          0
  267       345000     451700          0           0          0
  268            0     182000     442000           0          0
  269       170000     470000          0           0          0
  270       361500     201300          0           0          0
  271        36924     287870          0           0     796618
  272        97316      38013     219946           0          0
  273       172720     357956          0           0          0
  274       180000     300000          0           0          0
  275            0    1165550          0           0          0
  276            0    1008328          0           0          0
  277            0    1600000          0           0          0
  278       489300          0     237617           0          0
  279       150900     547000          0           0          0
  280       108500     217000     122950           0          0
  281       688800          0          0           0          0
  282       854832          0     623631           0          0
  283        73561     921330          0           0          0
  284            0          0    1070000           0          0
  285        66000     401921          0           0          0
  286       212000     175456     422400           0          0
  287       231066     293531          0           0          0
  288            0     526580          0           0          0
  289       639000          0          0           0          0
  290       350000      69000     170000           0          0
  291        57245     507118     200000           0          0
  292       225000     221510          0           0          0
  293        70000     435000          0           0          0
  294            0     406295          0           0          0
  295       173000     947670          0           0          0
  296       226908     328404          0           0          0
  297       306000     993850          0           0          0
  298       355000      60000      65000           0          0
  299       990000     587000          0           0          0
  300       390000     104400     100100           0          0
  301            0     479800          0           0          0
  302       238000     671770          0           0          0
  303            0    1507800          0           0          0
  304       220000      60000          0           0          0
  305       260000     941676          0           0          0
  306        38000     547235          0           0          0
  307            0     231899          0       77161          0
  308        11750     503939          0           0          0
  309            0     395950          0           0          0
  310            0     419411          0           0          0
  311            0     143260     240000           0          0
  312      1112716          0          0           0          0
  313            0     292500     445000           0          0
  314       179535     436465          0           0          0
  315       294600     242674          0           0          0
  316       536000     837925          0           0          0
  317       521394     288880          0           0          0
  318       880000     700000          0           0          0
  319            0     360686          0           0      39000
  320            0          0     401960           0          0
  321       514400          0          0           0          0
  322        25000     761840          0           0          0
  323        87955     111720     573890           0     111638
  324            0     343000          0           0          0
  325       791000          0          0           0          0
  326            0          0    1201286           0          0
  327            0     630022          0           0          0
  328       260750     119235      39760           0          0
  329      1185000     403000          0           0          0
  330            0     369760          0           0          0
  331       333510     306384          0           0          0
  332            0          0    1049326           0          0
  333       180000     452960          0           0          0
  334            0     603750          0           0          0
  335       189400     799470          0           0          0
  336            0     640000          0           0          0
  337        67950     465512          0           0     255210
  338            0      19605     913700           0          0
  339       192400     545450          0           0          0
  340       370000     945500          0           0          0
  341       128000     320000          0           0          0
  342            0          0     372534           0          0
  343       181000     282000          0           0          0
  344       309000     463000          0           0          0
  345        87660     165208          0           0          0
  346       499700          0     932800           0          0
  347            0     495428     180000           0      84728
  348            0    1078611          0           0          0
  349            0    1066050          0           0          0
  350       150000    1390000          0           0     840000
  351       310493     111209          0           0          0
  352       220680      38264          0           0       7000
  353        92000     464000     293000           0          0
  354            0     569200     119000           0          0
  355       305000     127650     125350           0          0
  356        70800     391121          0           0          0
  357      1266000     334000          0           0          0
  358            0     433450     206500           0          0
  359       104000     232500     247984           0          0
  360            0     965000     221000           0          0
  361       170000     425850          0           0          0
  362        95000     908826          0           0      40000
  363        50000     510000          0           0          0
  364       560000          0          0           0          0
  365       208000     408650          0           0          0
  366       159460     338200          0           0          0
  367       929433      22340          0           0          0
  368       195025     201785          0           0          0
  369            0     281550     315250           0          0
  370      1175613     215756          0           0          0
  371       177840     752350          0           0          0
  372            0      72000     248000           0          0
  373       325869     446750     240000           0     111675
  374        50000     390000          0           0          0
  375            0     458762     169500           0          0
  376       150000    1035000     404000           0          0
  377       464060          0     425545           0          0
  378        37700          0     250300           0          0
  379       146800     369917     226940           0          0
  380       342200      18400     270000           0          0
  381       422500     537500          0           0          0
  382            0    2400000          0           0          0
  383       457990     147200          0           0          0
  384       315000     261000          0           0          0
  385       567000     788916          0           0          0
  386            0    1111750          0           0          0
  387       113100     323690          0           0          0
  388            0     932000          0           0          0
  389       775000     149550          0           0          0
  390       182000          0     146075           0          0
  391       100000     238700          0           0     740500
  392            0    1138750          0           0          0
  393       260000      60000          0           0          0
  394       191950     582626          0           0          0
  395       373500          0     156750           0          0
  396       293413     482055          0           0          0
  397            0     175780     223840           0          0
  398            0     695800          0           0          0
  399       207760      54090      98625           0          0
  400       830000     620000          0           0          0
  401            0     279700     411450           0          0
  402       308080     191890     128140           0          0
  403            0     456000     184000           0          0
  404            0     610000     134000           0          0
  405       195000     444686          0           0          0
  406       356875     168300          0           0          0
  407       814296     934794          0           0          0
  408        21600     478577          0           0      14280
  409       170000     455000          0           0          0
  410        77600     479100          0           0          0
  411            0          0     392100           0          0
  412            0     300000    1259900           0          0
  413            0     220533          0           0    1346755
  414       143055     871403     194297           0          0
  415       613803     145613          0           0          0
  416            0     393500          0           0          0
  417       250510          0     909320           0          0
  418        73000     545050          0           0          0
  419       345472     188649          0           0          0
  420       115000          0     457600           0          0
  421       120000     482927          0           0          0
  422            0     436000      37000           0          0
  423            0     520817          0           0          0
  424            0     640000          0           0          0
  425       180330     179620          0           0          0
  426       250000    1307625          0           0          0
  427            0     765000          0           0     130000
  428        49250     655750      49250           0          0
  429            0    1560000          0           0          0
  430       263000     240000      68450           0          0
  431            0     635850          0           0          0
  432            0     877070          0           0      36495
  433       157725     178687          0           0          0
  434       572759          0       8600      214604     363522
  435            0     583986          0           0          0
  436            0     395000       5000           0          0
  437            0     247625     688675           0          0
  438        50000    1070000     230000           0     250000
  439            0     869363          0           0          0
  440        69100     572171          0           0     180150
  441       646270          0          0           0          0
  442       450000     117931     199641           0      64425
  443            0     601050          0           0      18600
  444            0     514147          0           0          0
  445       450000          0     227000           0          0
  446       516000      85900          0           0          0
  447            0     350000     104174           0      44750
  448            0    1420000          0           0          0
  449        88100     210000          0           0          0
  450            0     387850          0           0          0
  451       289000     350050     251000           0          0
  452       360000     515550          0           0          0
  453       160052     616000     210600           0          0
  454            0     631000          0           0          0
  455       697080     280000          0           0          0
  456        77005          0     393410           0          0
  457       145967          0     308040           0          0
  458            0     641250          0           0          0
  459        93320     718300          0           0          0
  460       120000     509600          0           0          0
  461            0     749501          0           0          0
  462            0     679950          0           0     218300
  463            0     475800          0           0          0
  464       304360     224048      23000           0      86640
  465       181750     116166          0           0          0
  466            0     330770     633066           0          0
  467       172000     143200      11000           0          0
  468       180272     117600          0           0          0
  469            0          0     175000      500915          0
  470            0     529534          0           0          0
  471       290892     134654          0           0          0
  472       390000     355000          0           0          0
  473       401440     603570     296500           0          0
  474       365000     341000          0           0          0
  475            0     300867          0           0          0
  476       303500     153000          0           0          0
  477        30796     484718          0           0          0
  478            0     780293          0           0          0
  479       280000     848100      85500           0          0
  480            0     865400          0           0          0
  481       260000     365174     253539           0          0
  482       330000     751558          0           0          0
  483            0     230090     362463           0          0
  484        48000      14000     258000           0          0
  485            0     598400          0           0          0
  486       319000     479000     190000           0          0
  487       200000     305000          0           0      30000
  488       848164          0          0           0          0
  489       123840     795770          0           0          0
  490        62000     240000          0           0     180000
  491       808300     289900          0           0          0
  492       860000          0          0           0          0
  493        98300     399500          0           0          0
  494       155000     330500     249500           0          0
  495       190500          0          0     1261624          0
  496            0     334970          0           0          0
  497       215400      48000     222000           0          0
  498            0     975000     300000           0          0
  499       200000     398000          0           0          0
  500       245281     168847          0           0          0
  501            0     259000      70075      274800          0
  502            0     176250          0           0     459750
  503            0     702120          0      352400          0
  504            0     365710          0           0          0
  505            0          0     720800           0          0
  506            0     637000          0           0          0
  507       674794     678175          0           0          0
  508            0          0     800000           0          0
  509       596400          0     182900           0          0
  510       213194     225202          0           0          0
  511      1867107          0          0           0          0
  512            0     591228          0           0          0
  513       343875          0          0           0          0
  514       115000    1100000          0           0      80000
  515        26848     374612          0           0          0
  516       486600      51000          0           0          0
  517       171038     240174          0      119400          0
  518            0     340000     686406           0          0
  519       200000     120000          0           0          0
  520            0      90139      83153           0          0
  521       419000     218750          0           0          0
  522        21800     548783          0           0          0
  523       267130     280500          0           0          0
  524       312000          0          0           0      96000
  525            0     928400          0           0          0
  526        87999     552000          0           0          0
  527            0     776807          0           0          0
  528       148320     278100     151533           0          0
  529       235417     157492          0           0          0
  530        80000     731430          0           0          0
  531            0     520287          0           0          0
  532            0     595500          0           0          0
  533       213671     476900          0           0          0
  534       362300     705300          0           0     475400
  535       299655     174880          0           0          0
  536       553547          0     473941           0          0
  537       104500     360950          0           0          0
  538            0      40058          0           0     202160
  539            0    1306158          0           0          0
  540            0     583999          0           0          0
